;dtset;qtype;stype;quest_id;question
15;TEST sciEntsBank Unseen Answers;;;FN_24b;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Are Fruity Cream cookies pure sugar? What is your evidence?
16;TEST sciEntsBank Unseen Answers;;;FN_24c;Diva's father told her she should not eat so many cookies because they were pure sugar. Diva decided to investigate the amount of sugar in Fruity Cream cookies. She performed the sugar test on 4 grams of pure sugar and on 4 grams of Fruity Cream cookies. The results are pictured at the right. Why did Diva need to test pure sugar?
17;TEST sciEntsBank Unseen Answers;;;FN_17a;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. What does this chemical reaction indicate?
18;TEST sciEntsBank Unseen Answers;;;FN_17c;Paula wants to test a food to see if it contains acid and/or sugar. When Paula added water and yeast to a sample of the food and put the mixture in a warm water bath, the mixture began to fizz and bubble. Paula tested for the other substance. What would the test results tell her?
19;TEST sciEntsBank Unseen Answers;;;FN_27a;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliter sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Does Overly Orange or Luscious Lemon contain a higher concentration of vitamin C? What is the evidence?
20;TEST sciEntsBank Unseen Answers;;;FN_27b;Jana and Emily used indophenol to test 3 beverages for vitamin C. The number of drops they added to make a 10 milliliters sample of the blue indophenol indicator become colorless are given here: 8 drops of Overly Orange 13 drops of Luscious Lemon 33 drops of Fruitsnap (and it still didn't change color). Why didn't the indophenol change color with Fruitsnap?
21;TEST sciEntsBank Unseen Answers;;;II_13a;Look at the finger patterns below, then answer the questions. What is the same about the finger patterns?
22;TEST sciEntsBank Unseen Answers;;;II_26;Look at the rubbings of 2 different fabrics. What do the rubbings tell us about the different textures of these 2 fabrics?
23;TEST sciEntsBank Unseen Answers;;;II_13b;Look at the finger patterns below, then answer the questions. What is different about the finger patterns?
24;TEST sciEntsBank Unseen Answers;;;II_24b;Design a way to use carbon printing to find out if 2 Labrador retrievers have the same paw patterns. How will you know if the 2 dogs have paw patterns that are the same?
25;TEST sciEntsBank Unseen Answers;;;II_20b;When Sarah did the chromatography test, she saw that one black ink stayed black and didn't separate. She discovered that she had used a permanent marker. She wondered what would happen if she used a different liquid. She wrote in her science notebook, What if I used vinegar in place of the water? Can I get the pigments in permanent ink to separate? How will Sarah know if vinegar separated the permanent ink?
26;TEST sciEntsBank Unseen Answers;;;II_38;Describe what you would see if a mirror were placed along a line of symmetry on a flat object.
27;TEST sciEntsBank Unseen Answers;;;LF_39;Don wants to make a map of his neighborhood that fits into his notebook. He has a photograph of the neighborhood but it is too large. Complete the description of how Don can draw an accurate map that fits into his notebook: 1. Put an overlay grid over the model. 2. ____ 3. Draw a smaller grid with the same number of squares in your notebook. 4. ____ 5. Create a key to go with the map.
28;TEST sciEntsBank Unseen Answers;;;LF_31b;What process forms deltas? A. Gravity B. Erosion (C. Deposition) D. Decomposition.  Explain how deltas form.
29;TEST sciEntsBank Unseen Answers;;;LF_33b;Below is a drawing of a river that carried sand, clay, and pebbles (past the river's mouth) to a lake. Why is the clay deposited where you indicated?
30;TEST sciEntsBank Unseen Answers;;;LF_34b;Draw an arrow to show which direction the water flows in the river. (Rose Mountain is on the left and Happy Valley is on the right in the drawing.) Why do you think the water flows in that direction?
31;TEST sciEntsBank Unseen Answers;;;LF_18a;How does the water flow in a creek during a flood compared to normal water flow?
32;TEST sciEntsBank Unseen Answers;;;LF_28a2;"Use the ""slope"" and ""no slope"" stream-table maps and logs on the facing page to answer these questions. What information do you get from the stream-table logs that you do not get from the stream-table maps?"
33;TEST sciEntsBank Unseen Answers;;;LF_26a2;Pam and her family were planning a hike. Pam found 2 maps of the same area. Her friend recommended she use the topographic map when they went to the lake. Why would Pam's friend recommend using the topographic map for the hike?
34;TEST sciEntsBank Unseen Answers;;;LF_26b2;Pam and her family were planning a hike. Pam found 2 maps of the same area. Her friend recommended she use the topographic map when they went to the lake. Which letter (Q, R, or S) on the map is on the steepest part of the trail? (Q) How do you know it is the steepest part of the trail?
35;TEST sciEntsBank Unseen Answers;;;LF_13a;What happens to earth materials during deposition?
36;TEST sciEntsBank Unseen Answers;;;LF_27a;The change in elevation between contour line A and contour line B is 20 meters. What is the change in elevation between contour line A and contour line C? How do you know that is the change in elevation between A and C?
37;TEST sciEntsBank Unseen Answers;;;LF_6b;Mark an X next to each of the following that can cause more erosion in a streamtable experiment. (Use a water source with a bigger hole.) Use a water source with a smaller hole.  Make the slope flatter. (Make the slope steeper.) Explain why your choices cause more erosion.
38;TEST sciEntsBank Unseen Answers;;;LP_15c;What is the relationship between the amount of effort required to lift the load and its distance from the fulcrum?
39;TEST sciEntsBank Unseen Answers;;;LP_16d;Look at the illustration of the pulley system at the right to answer the questions. What additional disadvantages might there be to this system compared to a single fixed pulley system?
40;TEST sciEntsBank Unseen Answers;;;ME_27b;How can you use a magnet to find out if the key is iron or aluminum?
41;TEST sciEntsBank Unseen Answers;;;ME_28b;Look at the picture on the right. Label the poles on each magnet. (The bottom 2 magnets are stuck together, the others are not.) What is the rule that explains why you labeled the poles the way you did?
42;TEST sciEntsBank Unseen Answers;;;ME_30;Sometimes a red stoplight changes to green only when a car stops at the light. A type of magnet hidden under the surface of the road triggers the light to turn green. What is it about the car that could trigger a magnet to send a signal to the light?
43;TEST sciEntsBank Unseen Answers;;;ME_5b;Anne is investigating which objects stick to magnets. She recorded this in her notebook. I was surprised! A nail was stuck to the magnet. When I accidentally touched the nail to a paperclip, the paperclip stuck to the nail. If Anne touched the nail to a brass ring, what do you think would happen and why?
44;TEST sciEntsBank Unseen Answers;;;ME_66a;Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?
45;TEST sciEntsBank Unseen Answers;;;ME_66b;Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of aluminum foil to make the connection? Why or why not?
46;TEST sciEntsBank Unseen Answers;;;ME_6b;Look at the diagram of a circuit at the right. Will the motor run? Why?
47;TEST sciEntsBank Unseen Answers;;;ME_72;Only one circuit below will light the bulb. Which one will work? Why is that the only circuit that will work?
48;TEST sciEntsBank Unseen Answers;;;ME_7a;Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. Explain how he can use the circuit to test the object.
49;TEST sciEntsBank Unseen Answers;;;ME_7b;Lee has an object he wants to test to see if it is an insulator or a conductor. He is going to use the circuit you see in the picture. How will he know if the object is a conductor?
50;TEST sciEntsBank Unseen Answers;;;ME_17a;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the left?
51;TEST sciEntsBank Unseen Answers;;;ME_17b;Denise made a circuit to light a bulb or run a motor off a D-cell battery. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Why will the bulb light when she moves the switch to the left?
52;TEST sciEntsBank Unseen Answers;;;ME_17c;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. What will happen when she moves the switch to the right?
53;TEST sciEntsBank Unseen Answers;;;ME_17d; Denise made a circuit to light a bulb or run a motor off a D-cell battery. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Why will the motor run when she moves the switch to the right?
54;TEST sciEntsBank Unseen Answers;;;ME_17e;Denise made a circuit to light a bulb or run a motor. She used a special switch. Below is the schematic diagram of her circuit. The switch is inside the dotted box. Can she run both the light and the motor at the same time? Why or why not?
55;TEST sciEntsBank Unseen Answers;;;ME_38a;Trace over the complete circuit with your pencil to show where it is. Even though there is a complete circuit, the bulb will not light. Why not?
56;TEST sciEntsBank Unseen Answers;;;ME_10;The motors shown at the right with the D-cell batteries will NOT run. Explain why.
57;TEST sciEntsBank Unseen Answers;;;ME_78b;Look at the picture of the circuit to the right. What will happen to the motor if the light bulb burns out?
58;TEST sciEntsBank Unseen Answers;;;ME_79;Kurt was investigating which objects stick to magnets. He made an entry in his science notebook and drew a picture to help explain what he did. Look what I did! I picked up a paperclip with a magnet. Then that paperclip picked up another one, and then another one. And they weren't hooked together either. All they had to do was touch each other. Explain to Kurt why he was able to pick up all those paperclips, even though the magnet was only touching the first one.
59;TEST sciEntsBank Unseen Answers;;;ME_65a;Look at the schematic diagram. What will happen to the other 2 bulbs if the middle bulb burns out?
60;TEST sciEntsBank Unseen Answers;;;ME_65b;Look at the schematic diagram including a D-cell battery and 3 bulbs. Why do the other 2 bulbs stay lit if the middle bulb burns out?
61;TEST sciEntsBank Unseen Answers;;;ME_69b;A magnet attracted another magnet even when a foam block was placed between them (see box A below). What do you think would happen if 2 foam blocks were placed between the 2 magnets (see box B). A. The magnets will stick. B. The magnets will not stick. (C. It might stick, but it might not.) Explain why you chose that answer.
62;TEST sciEntsBank Unseen Answers;;;ME_73;Wendy is making an electromagnet. She wrapped a long, insulated wire around an iron nail. What should Wendy do next to complete the electromagnet?
63;TEST sciEntsBank Unseen Answers;;;MS_64a;Greta used her hand to measure the length of the whiteboard in her classroom. She found that it was 14 hands long. Andre measured the whiteboard and found that it was 16 hands long. Explain why Greta and Andre got different measurements.
64;TEST sciEntsBank Unseen Answers;;;MS_43a;2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. Since they weighed the same apple, what do you think happened to make the results different?
65;TEST sciEntsBank Unseen Answers;;;MS_43b;2 groups used marbles to weigh the same apple. Jin's group found the apple weighed 35 marbles and Bee's group found the same apple weighed 60 marbles. Both groups used the correct procedure. What should the groups do to make their results more useful?
66;TEST sciEntsBank Unseen Answers;;;MS_39;Why is it important to use a standard unit when making a measurement?
67;TEST sciEntsBank Unseen Answers;;;MS_50a;Jen was talking on the phone with her Uncle Bill who lives in Canada. When she asked him how the weather was, he said it was nice and warm, about 28 degrees. What unit is Uncle Bill using to report the temperature?
68;TEST sciEntsBank Unseen Answers;;;MS_14b;"Look at the picture below [which shows a balance tipped down on the side containing a ball; the right cup has 20 grams and 10 grams mass pieces]. The mass of the ball is one of the following. It must be A. 20 grams. B. 30 grams. (C. 40 grams.) Explain why you chose the answer that you did."
69;TEST sciEntsBank Unseen Answers;;;MS_30b;Mary told her friend Sharice that she had a rug to sell. Sharice asked if the rug would fit perfectly, wall to wall, in her bedroom. Mary went home and measured the rug. She put her feet heel-to-toe and counted the number of shoe lengths it took to measure the rug. She found the rug was 18 shoes long and 12 shoes wide. Sharice did the same thing in her room to measure the space for the rug. Her floor was 18 shoes long and 12 shoes wide. A perfect fit! Sharice bought the rug and took it home. To her dismay, she found it was too short and too narrow for her bedroom! What could Mary and Sharice do to better measure the size of the rug?
70;TEST sciEntsBank Unseen Answers;;;MX_1;Gerry used a paper filter to separate a mixture of sand, salt, and water. Think about particle size and answer this question: Why did the salt go through the filter while the sand got caught?
71;TEST sciEntsBank Unseen Answers;;;MX_22a;A solution is a type of mixture. What makes it different from other mixtures?
72;TEST sciEntsBank Unseen Answers;;;MX_24;How do you know when a solid and a liquid form a solution?
73;TEST sciEntsBank Unseen Answers;;;MX_52b;Emily put 20 milliliters of a mystery solution in an evaporation dish. When all the water was gone, she drew the picture of the dish you see here.  Using the crystal-shape key below, what chemical do you think was dissolved in the solution? A. Epsom salt B. Sodium thiosulfate (C. Alum) D. None of the above. Explain why you chose that answer.
74;TEST sciEntsBank Unseen Answers;;;MX_42a;Joanne mixed material R and material D together, added water, and stirred. After a few minutes, the liquid was clear and there was a solid on the bottom of the cup. Joanne used a paper filter to separate the solid from the liquid. Why does the solid stay in the filter when the liquid goes through?
75;TEST sciEntsBank Unseen Answers;;;MX_16a;Mariella made a saturated solution by adding a solid to 100 milliliters water. Richard made a saturated solution by adding the same solid to 250 milliliters water. Do the 2 saturated solutions have the same concentration? Explain your answer.
76;TEST sciEntsBank Unseen Answers;;;MX_46b;Nigel made solutions in the bottles as shown below. Solution A was 2 spoons solute in 50 milliliters water and was clear with no material on the bottom. Solution B was 4 spoons solute in 100 milliliters water and was clear with no material on the bottom. Nigel took 50 milliliters of solution from bottle A and put it in cup A and 50 milliliters of solution from bottle B and put it into cup B. He put the cups on each side of the balance. Which picture shows what would happen? A is heavier than B, B is heavier than A, (A and B are the same weight). Explain your choice.
77;TEST sciEntsBank Unseen Answers;;;MX_47b;Tabby made 2 solutions using the same solute and water. [Cup one has 6 spoons solute in 50 milliliters water. Cup 2 has 8 spoons solute in 50 milliliters water. Both solutions are clear with material on the bottom.] Which sentence below describes the concentrations of the 2 solutions? (A. The solutions in the cups have the same concentration.) B. Cup one has the more concentrated solution. C. Cup 2 has the more concentrated solution. D. There is not enough information to answer the question. Explain your choice.
78;TEST sciEntsBank Unseen Answers;;;MX_10;Jorge added solid material to a container of clear colorless liquid. The mixture began to bubble. Explain why Jorge knew a chemical reaction occurred.
79;TEST sciEntsBank Unseen Answers;;;MX_18;A solution of water and material A is clear. A solution of water and material B is also clear. When the 2 solutions are mixed, a white solid settles to the bottom, leaving a clear liquid. What does the white solid indicate?
80;TEST sciEntsBank Unseen Answers;;;MX_19;When Amy added water to a mixture of baking soda and citric acid, the mixture began fizzing. Amy concluded there was a chemical reaction because it fizzed. Why is fizzing evidence of a chemical reaction?
81;TEST sciEntsBank Unseen Answers;;;MX_36a;Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a solution.
82;TEST sciEntsBank Unseen Answers;;;MX_36b;Grace set up a science experiment. Here's what she wrote in her notebook. First I put eggshells into a cup and covered them with vinegar. After a while, small bubbles appeared on the surface of the eggshells. The next day there were more bubbles. In a couple of days, the eggshells were gone and the liquid was clear. I think I made a solution and a reaction. Explain why Grace thinks she made a reaction.
83;TEST sciEntsBank Unseen Answers;;;MX_41;Janet found the solubility of silver chloride to be 86 grams in 50 milliliters of water. Mike found the solubility of silver nitrate to be 108 grams in 50 milliliters of water. Janet and Mike thought they must have made a mistake. They thought the solubilities of all materials in water should be the same. Is it possible that both solubilities are correct? Explain your answer.
84;TEST sciEntsBank Unseen Answers;;;MX_11a;Jim used a solid and water to make Mixture one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), Mixture 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and Mixture 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. What evidence does Jim have that the solid and water make a solution?
85;TEST sciEntsBank Unseen Answers;;;MX_11c;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Is the concentration of Mixture 5 less than, greater than, or the same as the concentration of Mixture 4? Explain your answer.
86;TEST sciEntsBank Unseen Answers;;;MX_11e;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. Describe how Jim could separate the dissolved solid from the water in Mixture one. What happens to the solid and to the water?
87;TEST sciEntsBank Unseen Answers;;;MX_11f;Jim used a solid and water to make Mixtures one (one spoon of solid in 100 milliliters water was clear with nothing on the bottom), 3 (3 spoons of solid in 100 milliliters water was clear with nothing on the bottom), 4 (4 spoons of solid in 100 milliliters water was clear with material on the bottom), and 5 (5 spoons of solid in 100 milliliters water was clear with material on the bottom) as shown below. He stirred each one and observed the results. If Jim made Mixture 2 with 2 spoons of solid in 100 milliliters of water, what would he observe? What evidence do you have to support this?
88;TEST sciEntsBank Unseen Answers;;;MX_49;Beth made 2 solutions of different concentrations of water and citric acid. She put 50 milliliters of the first solution in cup X and 50 milliliters of the second solution in cup Y. When she put the cups on the balance, the balance looked as shown below. Which solution, X or Y, is more concentrated? Explain how you know which is more concentrated.
89;TEST sciEntsBank Unseen Answers;;;MX_53;Adam's friend gave him a cup filled with a water solution. Adam did not know what solid material was used to make it. He evaporated the solution and found crystals in the dish after all of the water was gone. How will the crystals help him decide what solid material was used to make the solution?
90;TEST sciEntsBank Unseen Answers;;;PS_2a;Why does a rubber band make a sound when you pluck it (pull and let go quickly)?
91;TEST sciEntsBank Unseen Answers;;;PS_45b;Nathaniel and Sammy are trying to make up a code for sending messages to each other by dropping items in a drop chamber and listening to them. Sammy wants to design a code using blocks made of plastic, metal, and wood. Nathaniel thinks it would be a better idea to use wooden blocks of different sizes and shapes. Which student's method would make it easier to tell the difference between the sounds? Why?
92;TEST sciEntsBank Unseen Answers;;;PS_44;A harp has strings of different lengths. Describe how the sound of a short string being plucked (pulled and let go quickly) is different from the sound of a long string being plucked.
93;TEST sciEntsBank Unseen Answers;;;PS_12;Mary was trying to understand how tuning forks make sounds. She hit the tuning fork on the table and placed the tuning fork into a cup full of water while it was still ringing. The water splashed in all directions. How did seeing what happened help Mary understand how a tuning fork makes sounds?
94;TEST sciEntsBank Unseen Answers;;;PS_51a;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. One way Katie could change the sound of a string was to tighten it. Describe how the sound was different when the string was tightened.
95;TEST sciEntsBank Unseen Answers;;;PS_51b;Katie got a guitar for her birthday. She experimented with the strings and found she could change their sounds. Katie also discovered that when she pressed down on a string with her finger, making the string shorter, the sound again changed. Describe how the sound was different when the string was shortened.
96;TEST sciEntsBank Unseen Answers;;;PS_15bp;Below are pictures of wind instruments. You blow air through them to produce sounds. Why does [the saxophone] make the lowest sounds?
97;TEST sciEntsBank Unseen Answers;;;PS_26p;"Kate said: ""An object has to move to produce sound."" Do you agree with her? Why or why not?"
98;TEST sciEntsBank Unseen Answers;;;PS_46b;Why was the siren's sound designed to have this property?
99;TEST sciEntsBank Unseen Answers;;;PS_4ap;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla pulled the string tighter?
100;TEST sciEntsBank Unseen Answers;;;PS_4bp;Darla tied one end of a string around a doorknob and held the other end in her hand. When she plucked the string (pulled and let go quickly) she heard a sound. How would the pitch change if Darla made the string longer?
101;TEST sciEntsBank Unseen Answers;;;SE_10;Bryan taped a golf tee to a globe of the Earth. He shined a flashlight on the globe. The best way for Bryan to demonstrate how shadows change during the day would be to: (rotate the globe.) move the flashlight. Why would this best demonstrate how shadows change during the day?
102;TEST sciEntsBank Unseen Answers;;;SE_24a;The drawing above shows a plaza in the afternoon. Label the west side of the drawing with a W. Label the north side of the drawing with an N. How did you know which direction was west?
103;TEST sciEntsBank Unseen Answers;;;SE_3c;Why does the tree shown in the picture have a shadow?
104;TEST sciEntsBank Unseen Answers;;;SE_4a;What is a heat sink?
105;TEST sciEntsBank Unseen Answers;;;SE_16b2;"Cory and Rachael set up 3 solar water heaters to see which would show the greatest water temperature change. The containers are shown below. Each is the same height (4 centimeters), and the same width (10 centimeters). Only the lengths are different; Container A is 10 centimeters, Container B is 30 centimeters, and Container C is 40 centimeters. They painted the plastic containers black, filled each with the same amount of water, and put a clear plastic lid on each one. Then they set them out in the sunshine. Here are the data that Cory and Rachael collected: After 10 minutes Container A was 3 degrees Celsius, Container B was 9 degrees Celsius, and Container C was 12 degrees Celsius. Use the graph paper on the next page to graph the temperature change for each container. If Cory and Rachael had a container that was the same height and width as the other containers, but 20 centimeters long, what do you think the temperature change would be after 10 minutes? (6 Celsius) How did you decide what the temperature change would be for the new container?"
106;TEST sciEntsBank Unseen Answers;;;SE_22a;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using a cover?
107;TEST sciEntsBank Unseen Answers;;;SE_22b;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. What does the graph tell you about the effect of using blue versus red collectors?
108;TEST sciEntsBank Unseen Answers;;;SE_22c;Andi and Scott decided to investigate solar water heaters using collectors of different colors (but the same size) as one variable and covered versus uncovered as a second variable. Look at the graph of their data and answer the questions below. Why would comparing only the red uncovered heater with the blue covered heater not provide useful information?
109;TEST sciEntsBank Unseen Answers;;;SE_47b;"Sue bought a white wading pool for her grandchildren. She wanted to heat up the water as fast as possible. She thought that if she put plastic sheeting in the bottom of the pool it might heat up the water faster. She had a sheet of yellow plastic and a sheet of dark green plastic. What should Sue do to heat the water as fast as possible? A. Put the yellow sheeting on the bottom of the pool. (B. Put the dark green sheeting on the bottom of the pool.) C. Put no sheeting on the bottom of the pool; leave it white. Explain why you chose that answer."
110;TEST sciEntsBank Unseen Answers;;;SE_51b;Look at the 2 solar water heaters shown here. The black triangular area is the solar collector in each container. If both heaters contain the same amount of water, would you expect the temperature change in heater X to be greater than, less than, or the same as the temperature change in heater Y after 30 minutes? (Same) Explain your answer.
111;TEST sciEntsBank Unseen Answers;;;SE_25a;The graph shows temperature data from 2 containers. One container had 100 milliliters of water and the other had 100 milliliters of dry soil. Each container was placed in the sun for 20 minutes and then in the shade for 20 minutes. Which container, A or B, had the dry soil? Explain how the graph helped you decide which container had the dry soil.
112;TEST sciEntsBank Unseen Answers;;;SE_31b;Julie and David each built a solar water heater. Both solar water heaters were 10 centimeters x 10 centimeters x 30 centimeters. Both water heaters were painted black on the inside bottom and filled to the top with 3 liters of room temperature water. Both water heaters were set in the sun. They checked the temperatures every 5 minutes and made the table below. Which box did Julie build, A or B? What evidence supports your answer?
113;TEST sciEntsBank Unseen Answers;;;SE_45;Betty was puzzled. In the morning the shadow of the bus sign is in the street. In the afternoon the shadow of the bus sign points the opposite direction. Explain to Betty why this happens.
114;TEST sciEntsBank Unseen Answers;;;SE_46;Amber predicted that a black covered box would heat up faster than a white covered box. She took 2 identical shoe boxes and wrapped one with white paper and the other with black paper. She punched a hole in each box, stuck a thermometer into each hole, and put both boxes in the sun. Every 5 minutes, Amber recorded the temperature in each box. Will the data support Amber's prediction? Explain your answer.
115;TEST sciEntsBank Unseen Answers;;;SE_48;Maggie wanted to find out if surface area affected temperature change. She had 3 white cake pans. She filled each with 300 milliliters of water. She put one small black plastic disk in pan A, 2 in pan B, and 3 in pan C. Then she put all 3 pans in the sun. When Maggie measured the water temperature in each pan after 15 minutes, which pan do you think held the hottest water? Explain your answer.
116;TEST sciEntsBank Unseen Answers;;;ST_54b2;The inside of a pea seed is shown below. Describe the function of each of the parts: cotyledon.
117;TEST sciEntsBank Unseen Answers;;;ST_54b3;The inside of a pea seed is shown below. Describe the function of each of the parts: embryo.
118;TEST sciEntsBank Unseen Answers;;;ST_58;"What is your ""rule"" for deciding if the part of a plant you are observing is a fruit?"
119;TEST sciEntsBank Unseen Answers;;;ST_25b1;Look at the picture of the bean seedling shortly after germination. Describe the function of each of the parts: seed coat.
120;TEST sciEntsBank Unseen Answers;;;ST_25b2;Look at the picture of the bean seedling shortly after germination. Describe the function of each of the parts: cotyledon.
121;TEST sciEntsBank Unseen Answers;;;ST_52a;When a seed germinates, why does the root grow first?
122;TEST sciEntsBank Unseen Answers;;;ST_31b;One function of the bess beetle's elytra (the hard, black wing set) is protection. What is another function of the elytra?
123;TEST sciEntsBank Unseen Answers;;;ST_59;Elena has a male lizard that has lived for several years in the habitat she provided. She knows that some lizards are territorial. Besides additional food and water, what should she be sure to include in the habitat before she adds another male lizard?
124;TEST sciEntsBank Unseen Answers;;;VB_1;How do you define a controlled experiment?
125;TEST sciEntsBank Unseen Answers;;;VB_12d;Describe the relationship between the length of the string and the number of swings a swinger makes in 15 seconds.
126;TEST sciEntsBank Unseen Answers;;;VB_40a;Jack made a lifeboat out of a large paper cup. He decided to measure how far the boat sank when different numbers of marbles were added. His data are shown in the table. Identify the standard for Jack's experiment.
127;TEST sciEntsBank Unseen Answers;;;VB_5a;Explain in one sentence what each graph tells you. Graph A) number of tree rings versus time.
128;TEST sciEntsBank Unseen Answers;;;VB_5b;Explain in one sentence what each graph tells you. Graph B) speed of light versus time.
129;TEST sciEntsBank Unseen Answers;;;VB_22c;Describe what the graph tells you about the relationship between the number of scoops of fertilizer and the mass of beans harvested?
